Clasica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200- 1Hilo,200- 2Hilos,200- 4Hilos,200- 6Hilos,200- 8Hilos,400- 1Hilos,400- 2Hilos,400- 4Hilos,400- 6Hilos,400 -8Hilos,800- 1Hilos,800- 2Hilos,800- 4Hilos,800- 6Hilos,800 -8Hilos,1000- 1Hilos,1000- 2Hilos,1000- 4Hilos,1000- 6Hilos,1000 -8Hilos,1400- 1Hilos,1200- 2Hilos,1200- 4Hilos,1200- 6Hilos,1200 -8Hilos,1400- 1Hilos,1400- 2Hilos,1400- 4Hilos,1400- 6Hilos,1400 -8Hilos
578314,525482,52020,487508,935721,1301067,237149,492697,807555,1002819,4425379,1989463,1449367,1159437,914158,4721511,2622158,1565878,1565878,2241911,8803419,5301748,3601442,3385995,2912874,14646702,9533810,4835990,5138852,5001627
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645430,550221,67439,500763,950058,631306,414609,599018,881190,69961,4039021,1823128,1447711,828062,1525365,5289289,3290246,1904844,1904844,1095973,9409000,5485096,3670820,3286897,3581706,14837542,12354606,5871750,4579991,4879961
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690298,576090,83976,514251,966467,959026,624660,709963,958440,147810,3643336,2653995,1293971,1529252,1071458,4963986,2899152,2669494,2669494,1662792,9073851,5131781,3672051,2711983,3361592,14995266,7704150,5297420,5519765,5367345
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734370,601457,100744,528322,978943,1293413,813326,802137,1030722,226067,4233615,2373448,1102374,1231738,595662,5505055,3391741,2323690,2323690,2135179,8516735,4793628,3417488,3677444,3059017,14195512,8551816,5544515,5481839,5211492
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transpuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200- 1Hilo,200- 2Hilos,200- 4Hilos,200- 6Hilos,200- 8Hilos,400- 1Hilos,400- 2Hilos,400- 4Hilos,400- 6Hilos,400 -8Hilos,800- 1Hilos,800- 2Hilos,800- 4Hilos,800- 6Hilos,800 -8Hilos,1000- 1Hilos,1000- 2Hilos,1000- 4Hilos,1000- 6Hilos,1000 -8Hilos,1400- 1Hilos,1200- 2Hilos,1200- 4Hilos,1200- 6Hilos,1200 -8Hilos,1400- 1Hilos,1400- 2Hilos,1400- 4Hilos,1400- 6Hilos,1400 -8Hilos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261182,403940,73112,598400,124701,914692,571518,152561,356946,341255,1959863,1235672,1525623,744335,597633,3607674,1980945,1801813,1962712,1021451,9413307,3441820,3108289,2174296,1239651,9593331,6081054,3774422,3151333,2769331
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300069,427046,89928,613571,138904,1210868,731104,265839,450708,433324,2684294,1262627,1073326,1137279,1163807,4117761,2112368,1948296,1266106,1174285,6168070,4083776,2495694,2441266,2090050,10201601,5796054,3934416,3575700,3737988
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339878,450725,106207,629500,153354,511778,861586,378557,560862,524645,2543544,1232113,678037,537542,746214,3597655,1930632,2111174,1590021,1349177,6181793,3654563,2400087,2543983,1977052,9763553,6952021,4290714,3344051,3502662
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378008,473005,121567,643796,168115,784995,1003984,479486,659403,625881,2254824,1364831,1325973,1207280,1318371,3941356,2892237,1394784,1795745,1426026,6208202,4051947,2483022,2709258,1875337,10198102,5852892,3900212,3892136,2929941
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417428,494125,136916,657915,182378,1069744,175738,589796,754871,709270,2139476,1540156,959578,882794,890979,4223243,2969865,1861761,1924408,1590504,5973940,3637695,2826383,2949396,2607203,9186332,6247549,4477154,3951421,2909983
